route_id,agency_id,route_short_name,route_name,route_desc,route_type,route_url,route_color,route_text_color,dummy,Frequency/Timings source,Frequency timings destination,Comments,route_long_name
113,BMTCB,,Shivajinagar -Pillanna Garden ,,3,,F53333,FFFFFF,1,,,,113:Shivajinagar -Pillanna Garden 
113E ,BMTCB,,K R Market -Pillanna Garden ,,3,,F53333,FFFFFF,1,,,,113E :K R Market -Pillanna Garden 
114,BMTCB,,K R Market -Sultanpalya ,,3,,F53333,FFFFFF,1,,,,114:K R Market -Sultanpalya 
114A ,BMTCB,,Shivajinagar -Sultanpalya ,,3,,F53333,FFFFFF,1,,,,114A :Shivajinagar -Sultanpalya 
114C ,BMTCB,,Kempegowda Bus Station -Sultanpalya ,,3,,F53333,FFFFFF,1,,,,114C :Kempegowda Bus Station -Sultanpalya 
114E ,BMTCB,,Sultanpalya -Banashankari ,,3,,F53333,FFFFFF,1,,,,114E :Sultanpalya -Banashankari 
115,BMTCB,,Kempegowda Bus Station -Anandanagar ,,3,,F53333,FFFFFF,1,,,,115:Kempegowda Bus Station -Anandanagar 
115A ,BMTCB,,Kaval Byrasandra -Kamalanagar BEML Layout ,,3,,F53333,FFFFFF,1,,,,115A :Kaval Byrasandra -Kamalanagar BEML Layout 
119,BMTCB,,Shivajinagar -Marappa Garden ,,3,,F53333,FFFFFF,1,,,,119:Shivajinagar -Marappa Garden 
119A ,BMTCB,,Kempegowda Bus Station -Chinnappa Garden ,,3,,F53333,FFFFFF,1,,,,119A :Kempegowda Bus Station -Chinnappa Garden 
119B ,BMTCB,,K R Market -Chinnappa Garden ,,3,,F53333,FFFFFF,1,,,,119B :K R Market -Chinnappa Garden 
121A ,BMTCB,,Shivajinagar -Timber Yard Layout ,,3,,F53333,FFFFFF,1,,,,121A :Shivajinagar -Timber Yard Layout 
121B ,BMTCB,,Shivajinagar -MCTC Mysore Road Bus Station ,,3,,F53333,FFFFFF,1,,,,121B :Shivajinagar -MCTC Mysore Road Bus Station 
122,BMTCB,,Kempegowda Bus Station -Old Baiyyappanahalli ,,3,,F53333,FFFFFF,1,,,,122:Kempegowda Bus Station -Old Baiyyappanahalli 
123,BMTCB,,Shivajinagar -Old Baiyyappanahalli ,,3,,F53333,FFFFFF,1,,,,123:Shivajinagar -Old Baiyyappanahalli 
124,BMTCB,,Kempegowda Bus Station -Chinnappa Garden ,,3,,F53333,FFFFFF,1,,,,124:Kempegowda Bus Station -Chinnappa Garden 
125A ,BMTCB,,K R Market -Marappa Garden ,,3,,F53333,FFFFFF,1,,,,125A :K R Market -Marappa Garden 
125E ,BMTCB,,Shivajinagar -Chinnappa Garden ,,3,,F53333,FFFFFF,1,,,,125E :Shivajinagar -Chinnappa Garden 
126,BMTCB,,Kempegowda Bus Station -Jeevanahalli ,,3,,F53333,FFFFFF,1,,,,126:Kempegowda Bus Station -Jeevanahalli 
126A ,BMTCB,,K R Market -Jeevanahalli ,,3,,F53333,FFFFFF,1,,,,126A :K R Market -Jeevanahalli 
127,BMTCB,,Shivajinagar -Jeevanahalli ,,3,,F53333,FFFFFF,1,,,,127:Shivajinagar -Jeevanahalli 
128,BMTCB,,Shivajinagar -Cox Town ,,3,,F53333,FFFFFF,1,,,,128:Shivajinagar -Cox Town 
129,BMTCB,,Shivajinagar -Kempegowda Bus Station ,,3,,F53333,FFFFFF,1,,,,129:Shivajinagar -Kempegowda Bus Station 
129C ,BMTCB,,Kempegowda Bus Station -Legislators Home ,,3,,F53333,FFFFFF,1,,,,129C :Kempegowda Bus Station -Legislators Home 
130,BMTCB,,K R Market -Doopanahalli ,,3,,F53333,FFFFFF,1,,,,130:K R Market -Doopanahalli 
130E ,BMTCB,,Domlur -Raghavendra Colony ,,3,,F53333,FFFFFF,1,,,,130E :Domlur -Raghavendra Colony 
131,BMTCB,,Kempegowda Bus Station -Doopanahalli ,,3,,F53333,FFFFFF,1,,,,131:Kempegowda Bus Station -Doopanahalli 
131E ,BMTCB,,Domlur -Basaveshwaranagar ,,3,,F53333,FFFFFF,1,,,,131E :Domlur -Basaveshwaranagar 
131F ,BMTCB,,Kempegowda Bus Station -Domlur ,,3,,F53333,FFFFFF,1,,,,131F :Kempegowda Bus Station -Domlur 
132,BMTCB,,Shivajinagar -Domlur ,,3,,F53333,FFFFFF,1,,,,132:Shivajinagar -Domlur 
132B ,BMTCB,,Shivajinagar -Domlur ,,3,,F53333,FFFFFF,1,,,,132B :Shivajinagar -Domlur 
133E ,BMTCB,,Domlur -Byatarayanapura (Mysore Road) ,,3,,F53333,FFFFFF,1,,,,133E :Domlur -Byatarayanapura (Mysore Road) 
134A ,BMTCB,,Shivajinagar -Doopanahalli ,,3,,F53333,FFFFFF,1,,,,134A :Shivajinagar -Doopanahalli 
136,BMTCB,,Kempegowda Bus Station -Indiranagar ESI Hospital ,,3,,F53333,FFFFFF,1,,,,136:Kempegowda Bus Station -Indiranagar ESI Hospital 
137,BMTCB,,Domlur -Yeshwanthpur ,,3,,F53333,FFFFFF,1,,,,137:Domlur -Yeshwanthpur 
137A ,BMTCB,,Jeevanabhimanagar -Chowdeshwari Bus Station ,,3,,F53333,FFFFFF,1,,,,137A :Jeevanabhimanagar -Chowdeshwari Bus Station 
138,BMTCB,,Kempegowda Bus Station -Jeevanabhimanagar ,,3,,F53333,FFFFFF,1,,,,138:Kempegowda Bus Station -Jeevanabhimanagar 
138A ,BMTCB,,Jeevanabhimanagar -City Railway Station ,,3,,F53333,FFFFFF,1,,,,138A :Jeevanabhimanagar -City Railway Station 
138D ,BMTCB,,Kempegowda Bus Station -Jeevanabhimanagar ,,3,,F53333,FFFFFF,1,,,,138D :Kempegowda Bus Station -Jeevanabhimanagar 
138E ,BMTCB,,Jeevanabhimanagar -Mahalakshmi Layout ,,3,,F53333,FFFFFF,1,,,,138E :Jeevanabhimanagar -Mahalakshmi Layout 
139,BMTCB,,Shivajinagar -Jeevanabhimanagar ,,3,,F53333,FFFFFF,1,,,,139:Shivajinagar -Jeevanabhimanagar 
140,BMTCB,,K R Market -Viveknagar ,,3,,F53333,FFFFFF,1,,,,140:K R Market -Viveknagar 
140A ,BMTCB,,K R Market -Shinivagilu ,,3,,F53333,FFFFFF,1,,,,140A :K R Market -Shinivagilu 
140B ,BMTCB,,K R Market -Koramangala Housing Complex ,,3,,F53333,FFFFFF,1,,,,140B :K R Market -Koramangala Housing Complex 
140E ,BMTCB,,K R Market -Ejipura ,,3,,F53333,FFFFFF,1,,,,140E :K R Market -Ejipura 
141,BMTCB,,Shivajinagar -Viveknagar ,,3,,F53333,FFFFFF,1,,,,141:Shivajinagar -Viveknagar 
141A ,BMTCB,,Shivajinagar -Koramangala Housing Complex ,,3,,F53333,FFFFFF,1,,,,141A :Shivajinagar -Koramangala Housing Complex 
141B ,BMTCB,,Shivajinagar -Koramangala 8th Block ,,3,,F53333,FFFFFF,1,,,,141B :Shivajinagar -Koramangala 8th Block 
141E ,BMTCB,,Shivajinagar -Shinivagilu ,,3,,F53333,FFFFFF,1,,,,141E :Shivajinagar -Shinivagilu 
143,BMTCB,,K R Market -Neelasandra ,,3,,F53333,FFFFFF,1,,,,143:K R Market -Neelasandra 
143A ,BMTCB,,Neelasandra -Jagajeevanramnagar ,,3,,F53333,FFFFFF,1,,,,143A :Neelasandra -Jagajeevanramnagar 
143E ,BMTCB,,K R Market -Neelasandra Rose Garden ,,3,,F53333,FFFFFF,1,,,,143E :K R Market -Neelasandra Rose Garden 
144,BMTCB,,Shivajinagar -Neelasandra ,,3,,F53333,FFFFFF,1,,,,144:Shivajinagar -Neelasandra 
144A ,BMTCB,,Shivajinagar -Gajendranagar ,,3,,F53333,FFFFFF,1,,,,144A :Shivajinagar -Gajendranagar 
144B ,BMTCB,,Shivajinagar -Lakshman Rao Nagar ,,3,,F53333,FFFFFF,1,,,,144B :Shivajinagar -Lakshman Rao Nagar 
144E ,BMTCB,,Shivajinagar -Neelasandra Rose Garden ,,3,,F53333,FFFFFF,1,,,,144E :Shivajinagar -Neelasandra Rose Garden 
144H,BMTCB,,Neelasandra-Shivajinagar-Nandini layout ,,3,,F53333,FFFFFF,1,,,,144H:Neelasandra-Shivajinagar-Nandini layout 
145,BMTCB,,Kempegowda Bus Station -Neelasandra ,,3,,F53333,FFFFFF,1,,,,145:Kempegowda Bus Station -Neelasandra 
146,BMTCB,,Kempegowda Bus Station -Viveknagar ,,3,,F53333,FFFFFF,1,,,,146:Kempegowda Bus Station -Viveknagar 
146A ,BMTCB,,Kempegowda Bus Station -Koramangala Housing Complex ,,3,,F53333,FFFFFF,1,,,,146A :Kempegowda Bus Station -Koramangala Housing Complex 
146B ,BMTCB,,Kempegowda Bus Station -Shinivagilu ,,3,,F53333,FFFFFF,1,,,,146B :Kempegowda Bus Station -Shinivagilu 
146E ,BMTCB,,Kempegowda Bus Station -Ejipura ,,3,,F53333,FFFFFF,1,,,,146E :Kempegowda Bus Station -Ejipura 
150,BMTCB,,Shivajinagar -K R Market ,,3,,F53333,FFFFFF,1,,,,150:Shivajinagar -K R Market 
152,BMTCB,,Neelasandra -Pillanna Garden ,,3,,F53333,FFFFFF,1,,,,152:Neelasandra -Pillanna Garden 
